	Kingdom	Phylum	Class	Order	Family	Genus
ASV409	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella
ASV4090	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagales	Cytophagales
ASV4091	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II
ASV4092	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaeria	Lentisphaeria	Lentisphaeria
ASV4093	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade
ASV4094	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	FS142-36B-02
ASV4095	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum
ASV4096	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales
ASV4097	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41
ASV4098	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacteraceae
ASV4099	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV41	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11
ASV410	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagales	Chitinophagales
ASV4100	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonadaceae
ASV4101	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae
ASV4102	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j
ASV4103	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Rubinisphaeraceae
ASV4104	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinales	Actinomarinales
ASV4105	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV4106	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae
ASV4107	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae
ASV4108	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiella
ASV4109	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula
ASV411	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureicoccus
ASV4110	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales	Bacteroidales
ASV4111	Bacteria	Planctomycetota	Planctomycetota	Planctomycetota	Planctomycetota	Planctomycetota
ASV4112	Bacteria	Planctomycetota	BD7-11	BD7-11	BD7-11	BD7-11
ASV4113	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
